Анализ состояния на складах;;
Анализ состояния на складах;;
№;Название товара;
1;3D Active Glasses Samsung 3D SSG-P51002/RU - активные, рабочее расстояние до 6м, время работы 150 таня (7);13,43283582
2;3G-модем О! LTE ZTE MF193М 3G/2G. До 7,2 Мбит/с. SIM стандартная +2GB интернета 11532 (О!);13,25041459
3;Adapter COM-Port на PCI (для корпуса ПК) 11625 (К);0,696517413
4;Bluetooth устройство Грибочек 4934 (К);1,376451078
5;FM модулятор CAR MP3 Player FM Transmitter 1290 (smart);3,432835821
6;FM модулятор CAR MP3 Player FM Transmitter ST711D 1363 (smart);2,752902156
7;Numeric KeyPad (NumPad) 9712 (к);2,752902156
8;NumPad 2849 (к);3,980099502
9;POWER SUPPLY TESTER (Тестер для БП) 11618 (К);6,053067993
10;Second Caddy HDD для ноутбуков вместо DVD 12.7mm SATA-SATA 11718 (К);11,77446103
